"","event","event_size","datetime","actor"
"96","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/28/7YC6-H8P0-YBYD-2118.xml#peaceEvent","6","2010-04-28","http://dbpedia.org/resource/Benni_McCarthy"
"97","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/28/7YBN-GWM0-Y958-C144.xml#knowEvent","80","2010-04-28","http://dbpedia.org/resource/Benni_McCarthy"
"98","http://www.theguardian.com/football/2010/apr/28/the-fiver-champions-league#sayEvent","7685","2010-04-28","http://dbpedia.org/resource/Benni_McCarthy"
"99","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/28/7YBF-C8G0-Y9M7-V1WS.xml#missEvent","11","2010-04-28","http://dbpedia.org/resource/David_Beckham"
"100","http://www.theguardian.com/football/2010/apr/28/the-fiver-champions-league#planEvent","33","2010-04-28","http://dbpedia.org/resource/Robbie_Blake"
"101","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/29/7YBR-TY30-YB33-20Y4.xml#payEvent","7","2010-04-29","http://dbpedia.org/resource/Wayne_Rooney"
"102","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/29/7YBR-TY30-YB33-20Y4.xml#seeEvent","9","2010-04-29","http://dbpedia.org/resource/Wayne_Rooney"
"103","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/29/7YBW-9VV0-YB58-K3C7.xml#forceEvent","6","2010-04-29","http://dbpedia.org/resource/Bongani_Khumalo"
"104","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/29/7YBW-9VV0-YB58-K3C7.xml#opportunityEvent","7","2010-04-29","http://dbpedia.org/resource/Siboniso_Gaxa"
"106","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/28/7YBG-P1V1-2S06-T0R3.xml#viewingEvent","20","2010-04-28","http://dbpedia.org/resource/Ronaldo"
"107","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/28/7YBG-10X1-2R6N-X02J.xml#takeEvent","21","2010-04-28","http://dbpedia.org/resource/Jimmy_Conrad"
"108","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/28/7YBG-10X1-2R6N-X02J.xml#sealEvent","9","2010-04-28","http://dbpedia.org/resource/Ivica_Olic"
"109","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/28/7YBG-KDT0-Y8TH-P3GJ.xml#scoreEvent","8","2010-04-28","http://dbpedia.org/resource/Ivica_Olic"
"110","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/28/7YB9-C121-2RYX-103K.xml#careerEvent","57","2010-04-28","http://dbpedia.org/resource/Gabriel_Batistuta"
"111","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/28/7YB9-C121-2RYX-103K.xml#finishEvent","5","2010-04-28","http://dbpedia.org/resource/Gabriel_Batistuta"
"112","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/28/7YB9-C121-2RYX-103K.xml#hireEvent","8","2010-04-28","http://dbpedia.org/resource/Gabriel_Batistuta"
"113","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/28/7YBN-GWM0-Y958-C144.xml#thinkEvent","871","2010-04-28","http://dbpedia.org/resource/Craig_Moore"
"114","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/28/7YB9-C121-2RYX-103K.xml#believeEvent","8","2010-04-28","http://dbpedia.org/resource/Craig_Moore"
"115","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/28/7YC6-H8P0-YBYD-2118.xml#makeEvent","14","2010-04-28","http://dbpedia.org/resource/Benni_McCarthy"
"116","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/28/7YBN-GWM0-Y958-C144.xml#createEvent","34","2010-04-28","http://dbpedia.org/resource/Benni_McCarthy"
