"","event","event_size","datetime","actor"
"70","http://www.theguardian.com/football/2010/apr/06/cska-moscow-internazionale-champions-league-live#missEvent","24","2010-04-06","http://dbpedia.org/resource/Tony_Cascarino"
"71","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/02/7Y4X-4Y21-2RM7-82N0.xml#missEvent","16","2010-04-02","http://dbpedia.org/resource/David_Beckham"
"72","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/01/7Y4J-1HT1-2RR2-D3XN.xml#relationshipEvent","6","2010-04-01","http://dbpedia.org/resource/David_Beckham"
"73","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/01/7Y6N-P9G0-YC5N-739M.xml#supportEvent","75","2010-04-01","http://dbpedia.org/resource/Matthew_Le_Tissier"
"74","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/01/7Y4R-6BN0-Y9NR-02HS.xml#standardEvent","5","2010-04-01","http://dbpedia.org/resource/Lionel_Messi"
"75","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/01/7Y4R-6BN0-Y9NR-02HS.xml#missEvent","7","2010-04-01","http://dbpedia.org/resource/Ronaldo"
"76","http://www.newsreader-project.eu/LNdata/hackathon/2010/03/28/7Y3P-WD50-Y9NT-23C3.xml#believeEvent","9","2010-03-28","http://dbpedia.org/resource/Rory_Fallon"
"77","http://www.newsreader-project.eu/LNdata/hackathon/2010/03/27/7Y3M-T4F0-YB39-025N.xml#standardEvent","6","2010-03-27","http://dbpedia.org/resource/Cristiano_Ronaldo"
"78","http://www.newsreader-project.eu/LNdata/hackathon/2010/03/27/570R-W4H1-J9YR-G172.xml#wantEvent","329","2010-03-27","http://dbpedia.org/resource/Thierry_Henry"
"79","http://www.newsreader-project.eu/LNdata/hackathon/2010/03/26/7Y3M-9FF0-YB58-K2BR.xml#thanksEvent","7","2010-03-26","http://dbpedia.org/resource/Ricardo_Carvalho"
"80","http://www.newsreader-project.eu/LNdata/hackathon/2010/03/25/7Y3H-RXT1-2R4F-7046.xml#enjoyEvent","20","2010-03-25","http://dbpedia.org/resource/Lionel_Messi"
"81","http://www.newsreader-project.eu/LNdata/hackathon/2010/03/25/7Y3D-B8S0-YB58-K3S4.xml#visitEvent","11","2010-03-25","http://dbpedia.org/resource/Lucas_Radebe"
"82","http://www.newsreader-project.eu/LNdata/hackathon/2010/03/23/7Y38-YD30-Y8F0-C302.xml#welcomeEvent","6","2010-03-23","http://dbpedia.org/resource/David_Beckham"
"83","http://www.newsreader-project.eu/LNdata/hackathon/2010/03/24/7Y31-P9Y0-Y9S8-D2KM.xml#wantEvent","8","2010-03-24","http://dbpedia.org/resource/Alexandre_Pato"
"84","http://www.newsreader-project.eu/LNdata/hackathon/2010/03/23/7Y38-YD30-Y8F0-C302.xml#missEvent","6","2010-03-23","http://dbpedia.org/resource/David_Beckham"
"85","http://news.bbc.co.uk/sport2/hi/football/europe/8579421.stm#followEvent","18","2010-03-22","http://dbpedia.org/resource/Lionel_Messi"
"86","http://www.newsreader-project.eu/LNdata/hackathon/2010/03/22/7Y2W-V870-Y9KG-Y22N.xml#believeEvent","20","2010-03-22","http://dbpedia.org/resource/Lukas_Podolski"
"87","http://www.newsreader-project.eu/LNdata/hackathon/2010/03/21/7Y2D-0V51-2R53-93TK.xml#fanEvent","5","2010-03-21","http://dbpedia.org/resource/David_Beckham"
